NAMESPACE                  NAME                              TYPE                DATA   AGE
etcd-migrator-cutover      etcd-migrator-cutover-secret      Opaque              1      60s
default                   default-token-xxxxx               kubernetes.io/service-account-token   4      65s
kube-system               attachdetach-controller-token-xxxxx kubernetes.io/service-account-token   4      65s
kube-system               bootstrap-signer-token-xxxxx      kubernetes.io/service-account-token   4      65s
kube-system               certificate-controller-token-xxxxx kubernetes.io/service-account-token   4      65s
kube-system               clusterrole-aggregation-controller-token-xxxxx kubernetes.io/service-account-token   4      65s
kube-system               cronjob-controller-token-xxxxx     kubernetes.io/service-account-token   4      65s
kube-system               daemon-set-controller-token-xxxxx  kubernetes.io/service-account-token   4      65s
kube-system               deployment-controller-token-xxxxx  kubernetes.io/service-account-token   4      65s
kube-system               disruption-controller-token-xxxxx  kubernetes.io/service-account-token   4      65s
kube-system               endpoint-controller-token-xxxxx   kubernetes.io/service-account-token   4      65s
kube-system               endpointslice-controller-token-xxxxx kubernetes.io/service-account-token   4      65s
kube-system               endpointslicemirroring-controller-token-xxxxx kubernetes.io/service-account-token   4      65s
kube-system               expand-controller-token-xxxxx     kubernetes.io/service-account-token   4      65s
kube-system               generic-garbage-collector-token-xxxxx kubernetes.io/service-account-token   4      65s
kube-system               horizontal-pod-autoscaler-token-xxxxx kubernetes.io/service-account-token   4      65s
kube-system               job-controller-token-xxxxx        kubernetes.io/service-account-token   4      65s
kube-system               kube-proxy-token-xxxxx           kubernetes.io/service-account-token   4      65s
kube-system               namespace-controller-token-xxxxx  kubernetes.io/service-account-token   4      65s
kube-system               node-controller-token-xxxxx      kubernetes.io/service-account-token   4      65s
kube-system               persistent-volume-binder-controller-token-xxxxx kubernetes.io/service-account-token   4      65s
kube-system               pod-garbage-collector-token-xxxxx  kubernetes.io/service-account-token   4      65s
kube-system               pv-protection-controller-token-xxxxx kubernetes.io/service-account-token   4      65s
kube-system               pvc-protection-controller-token-xxxxx kubernetes.io/service-account-token   4      65s
kube-system               replica-set-controller-token-xxxxx kubernetes.io/service-account-token   4      65s
kube-system               replication-controller-token-xxxxx kubernetes.io/service-account-token   4      65s
kube-system               resourceclaim-controller-token-xxxxx kubernetes.io/service-account-token   4      65s
kube-system               resourcequota-controller-token-xxxxx kubernetes.io/service-account-token   4      65s
kube-system               root-ca-cert-publisher-token-xxxxx kubernetes.io/service-account-token   4      65s
kube-system               service-account-controller-token-xxxxx kubernetes.io/service-account-token   4      65s
kube-system               service-controller-token-xxxxx    kubernetes.io/service-account-token   4      65s
kube-system               statefulset-controller-token-xxxxx kubernetes.io/service-account-token   4      65s
kube-system               token-cleaner-token-xxxxx        kubernetes.io/service-account-token   4      65s
kube-system               ttl-after-finished-controller-token-xxxxx kubernetes.io/service-account-token   4      65s
